name,opened,sector,revenue,expenses,employees,locations,customers,ads,score1,score2,growth,potential,adsPerYear
Fwl,1987,3,5538333,8696556,59,8,1,2879,65,6,1626,,93
Wmb,1998,6,3610353,2557181,101,11,43,2199,60,1,1476,3610353,110
C2g,2000,6,45587,73721,3,2,7,2585,70,634,397,,144
QrVcjm,1989,10,1687224,1377464,16,4,1,2649,60,1,88,1687224,92
Mqqy LLC,1991,1,5248430,2754945,133,12,2,2728,60,56,-412,5248430,102
AameibPhxh,2002,9,53168809,40151294,1389,15,1,2600,60,2,911,53168809,163
Qfhjka,1993,13,36451942,33490361,387,20,2,2206,40,36,-1929,36451942,89
Olj Corp,1993,2,1341470490,1863443217,124236,16,2,2692,60,59,-444,,108
Dvues4,2007,2,1277138,1865630,52,8,41,2505,40,22,-2730,,228
Tm19ob,1988,10,83985,160589,13,4,11,2766,40,9,-3432,,93
Zmbldigqvwcha,2000,13,1144098,2237649,75,6,1,2481,40,21,351,,138
XuyrvvOfnpzwu,1993,4,933431,1308170,22,5,806,2703,40,1,1835,,109
Szc LLC,1982,13,30579168,16309766,197,2,2,2114,50,4,-280,30579168,59
Ccnq9jny Inc,1984,3,3300215,5358257,519,2,77,2494,60,236,665,,74
Ibi,1968,2,676071,782763,34,4,3,2493,40,1,26,,50
Kvmz Corp,1981,6,12078876,10980421,65,9,1,1946,40,59,2232,12078876,53
Pbo5Ku,1995,11,18228714,16527502,191,14,27,2519,60,1,-2678,18228714,110
UqAaX9f,2012,3,279755,258885,6,3,6,2271,60,90,-1115,279755,379
ORat9lujl Corp,1990,3,5673,3213,1,1,137,2651,70,2,-1011,5673,95
Agm Inc,1994,11,4723406,4521408,86,10,7,2799,60,1,504,4723406,117
Trgd,1985,10,20782,11624,1,1,4,2955,40,4,409,20782,90
Ibv Corp,1984,11,23663794,15355051,1089,19,1,2909,50,4,-241,23663794,86
DJ59j,1991,3,50396818,72304216,1189,14,4,2458,60,23,-996,,92
AZzys,1989,11,153384,224680,4,2,434,2521,46,6,-1205,,87
UoN,1987,3,104233,79400,2,2,1,2409,60,21,65,104233,78
Zgyjx Corp,1997,8,1629412,1372116,20,5,15,2378,60,87,484,1629412,114
Ylh Inc,2001,10,39506401,42878890,590,18,2,2790,40,8,850,,165
Gaf,1989,3,1061312,2672920,43,7,1,3066,40,1,-465,,106
ZxQM1 LLC,1995,6,49363,67644,2,2,1,2580,40,1,755,,113
Ez6 Inc,1981,10,9757535,13144511,283,1,9,3074,50,19,-4113,,84
Cc9oxRF,1984,13,7350628,6408905,61,8,1,2094,65,3719,0,7350628,62
Bmv,1997,3,6904240,21997151,281,9,20,2714,40,135,2074,,130
HBgvb,1976,8,504000,188803,4,2,2,2603,75,2,0,504000,62
Hqrg Corp,1998,11,57872121,89191876,3879,53,10,2247,40,6,343,,113
Zpj,1987,2,110174,202619,15,4,1,3410,40,52,-689,,110
C3p4b LLC,1974,3,130869225,63115634,1059,33,2,1954,69,3,192,130869225,45
Ooo2s,1992,2,208222,412535,5,3,2,2289,40,522,1409,,89
E3s,1992,11,52636,56647,1,1,4,2317,50,1,357,,90
Hux,1993,2,16637566,11199925,42,7,2,1817,59,327,-196,16637566,73
Ugukn,1997,10,96908653,117780467,4524,15,4,3285,50,74,1146,,157
Q0zpAx,1981,3,20314,18362,1,1,11,1949,58,5,2216,20314,53
Ixdt,1986,1,467081,413091,7,3,1,2753,60,36,-830,467081,87
Ktpvgtusf,1979,13,126975,142304,11,4,22,2606,60,124,76,,67
Wjkjkm,1987,3,4255886,5408498,204,15,4,2913,40,1,510,,94
Bdsm,1989,11,101088178,120914470,1336,13,16,3226,50,1,-106,,112
Co3qc,1994,6,116646,147146,7,3,4,3043,60,20,1034,,127
Ityk,1998,1,14011488,12570903,1234,17,3,2368,60,9,-1265,14011488,119
WbK Corp,1986,13,126670226,55686638,3045,41,7,2075,60,7,-765,126670226,65
Fue Inc,1988,3,512657,551831,8,3,1,3337,40,175,-376,,112
Plsr Corp,1995,11,4084018,7109506,139,9,10,3177,40,39,256,,139
Cost,1992,8,7338987,9797402,91,10,1,2469,55,1,2025,,95
Ravnw1,1983,3,1069184,483009,11,4,3,2691,40,5,-424,1069184,77
X2G,1980,8,546945,701876,63,2,124,2220,50,3,2068,,59
Gfoeg,1993,2,255936745,166973623,10419,13,1,2397,60,16,-194,255936745,96
Hl9t,1993,3,621210,516381,16,4,2,3141,60,134,57,621210,126
WsH9x,1991,13,1215421,807086,20,5,1,2968,60,9,-765,1215421,110
Y65c,1994,3,44480,72885,1,1,2,2385,40,2,2162,,100
SYxrj9 Inc,1994,8,358273,266123,8,3,4,2407,50,621,302,358273,101
Qls,1987,2,23185587,16685868,345,12,4,2121,40,2,640,23185587,69
Lpt,1993,2,6616797,12979542,337,10,15,2862,40,18,-349,,115
QpLjM,1986,2,17621193,8613516,114,2,1,2463,60,5,3914,17621193,77
Juz5,1984,3,6109612,7752744,272,17,1,2247,60,3,97,,67
Vgdw,1990,3,1413561,1313642,16,4,2,2994,40,1,638,1413561,107
JDq,1991,3,69878,64389,3,2,5,2163,65,12,1099,69878,81
Bpp,1986,3,151085,96539,6,3,60,2897,60,1,1541,151085,91
Zse Inc,1996,6,1680834978,7450841277,31725,1,1,3054,50,119,697,,139
Wqxwx8,1985,6,298778488,262683251,3101,15,1,3059,50,26,-713,298778488,93
S75x1 Inc,1990,3,105684,32776,2,1,1,2045,50,6,311,105684,74
DXct,1994,8,76080,125539,4,2,1,3106,60,116,728,,130
Knrodrw,2002,7,8727040,14249772,249,5,1,2434,40,6,1674,,153
Q8uk,1994,3,4019,3863,1,1,3,3128,20,3,119,4019,131
NIphj4i,1985,3,1011699,1613423,21,5,4,2163,42,24,-2200,,66
Fio,1986,8,789569,303746,5,3,1,2811,61,7,-943,789569,88
Kso,1987,3,37469913,42707124,3341,34,1,2588,60,6,1331,,84
A260,1982,11,24840,30050,2,2,90,3409,60,7,-719,,95
O14gi Corp,1987,11,15703,9966,1,1,82,2615,60,270,-2230,15703,85
Bawv,2003,11,506106,618997,37,7,10,2080,70,8,-386,,139
Nvxsm Corp,1985,6,18070321,20484253,296,18,2,2480,60,262,383,,76
OlhN,1989,4,76630,46647,2,2,2,2644,45,14,-4150,76630,92
Iutzcp,1998,3,481105,528925,17,5,1,2570,40,4,-938,,129
Sqw,1984,1,25006435,44469156,2122,42,1,2629,60,4,3990,,78
Fe1 Inc,1975,10,14150218,46976788,2509,14,2,2763,40,244,593,,65
Fh9,1975,11,10033,9103,1,1,3,3048,60,2,-229,10033,71
IgjDtOuy,1993,13,6438598,3662019,79,3,1,2370,60,207,1469,6438598,95
Lpoc,1997,7,32773584,26490149,1504,1,542,2980,40,1,503,32773584,142
Ewrso,1988,10,63779,108987,8,3,5903,2404,70,5,2141,,81
Ceqjdtaxc,1989,3,834657,1482025,29,3,1,3089,20,3,-102,,107
BV2,1985,3,19084022,19355723,697,27,8,2823,70,1,-1497,,86
Jnj,1994,3,21258081,7351424,53,8,16,2601,68,5,24,21258081,109
Tvsuh Corp,1981,6,92804,95083,1,1,2,2901,60,1,736,,79
Zilor,1996,11,1524939,1283335,9,3,5,2616,40,16,1142,1524939,119
Ma3dOmu8qoczjc,1990,6,43222,30725,3,2,92,2043,40,292,2516,43222,73
EbYu1Xeae,1998,3,25593,15089,1,1,4,2589,55,101,-244,25593,130
JqAp Inc,1995,3,879738,917266,22,5,8,2934,45,2,-2968,,128
DTee,1990,13,2253263,3543428,127,11,1,2280,60,4,-566,,82
FSqmhyUodlyk,2005,3,13865970,21188014,284,7,10,2595,50,4,-877,,200
Ylr,1994,11,12440862,16692478,351,19,588,2997,40,3,328,,125
Mcw0,1985,3,1249654,3126702,72,1,1103,2269,70,15,4091,,69
Aqysxof,1992,3,54507,58385,1,1,2,2893,40,13,1243,,112
Sql3lp LLC,1997,4,1010087,495396,14,4,2,2274,40,1,2206,1010087,109
HpV1s,1987,3,93708679,169908327,14120,10,1,2472,80,53,140,,80
Lcd LLC,1982,12,13530558,7879933,118,9,1,3182,60,2,-7576,13530558,89
AnxC,1985,8,328555,344442,8,3,8,2577,60,37,479,,79
Fiv,2002,7,26442,66611,1,1,10,2883,70,2,1027,,181
Oyu,1984,3,459376,817264,13,4,14,1862,55,133,257,,55
Tlnx7lvd,1994,9,6335223,4895250,312,18,1204,3129,57,3,864,6335223,131
Yykx,1995,2,1300968,655861,43,7,1,2103,58,73,1536,1300968,92
Wkms,1987,8,3586170,3013169,36,6,1,2409,40,167,-282,3586170,78
Tbd Corp,1984,3,42108019,57658286,967,4,1,2987,40,142,-826,,88
RThedc,2001,8,95499,60029,2,2,1,2341,40,4,-425,95499,138
Hqdo,1988,8,889634974,588172304,3848,1,18,2586,50,11,399,889634974,87
Pwwy Inc,1985,6,665579819,381233065,33750,16,1,2202,90,784,-307,665579819,67
SKu,1991,11,26490548,46388408,386,7,2,2583,40,41,847,,96
Tdrlf6 Corp,1986,3,1524517,2364675,132,12,7,3363,55,50,1968,,106
Ubofc Inc,1994,8,17999749,4326491,137,12,4,2932,70,3,743,17999749,123
ZabRw,1989,3,311431,259354,9,3,183,2186,60,33,974,311431,76
Mw4kOe,1995,3,58790353,58487837,2469,1,63,2886,50,6,2998,58790353,126
Ek8,1996,3,680238,430617,13,3,1,2585,70,4,433,680238,118
Cbhvu5,2004,3,6964878,6091460,484,13,10,2444,40,29,679,6964878,175
Jtcxir LLC,1999,6,967485,670500,24,5,7,2013,40,176,-2487,967485,106
Eoxrb,1990,7,2937352,1604019,42,7,3,2749,40,360,286,2937352,99
At8,1998,1,24764572,26157292,1411,17,2,2655,40,1447,514,,133
Qv7 Inc,2000,7,17796167,29353441,389,20,4,2627,60,116,682,,146
W6z,1997,6,43322500,23184533,398,3,1,2985,80,4,2186,43322500,143
Lttu,1981,3,16354,15761,1,1,1,2498,46,1,3000,16354,68
PGmes,1997,3,16995935,29522482,2437,29,2,2724,51,1,1268,,130
GhTpsk Corp,1980,6,196429973,176753574,4023,6,201,2474,40,32,613,196429973,66
Wlu,1999,1,25905,18947,1,1,3,3067,60,50,419,25905,162
Yighq Inc,1981,3,3427210,2323438,124,12,1,2716,80,1,64,3427210,74
NL5gn,1990,8,165234330,296768115,19638,25,1,2722,40,5,715,,98
DaD Corp,1997,10,6783044,6915585,162,13,121,2908,60,17,288,,139
X1C,1986,3,345419657,243415400,2803,18,592,3162,40,33,918,345419657,99
UNikme,1983,11,30649127,14069665,213,1,1,2543,50,1,1194,30649127,73
Qiyi4 Inc,1983,3,24673846,19768683,1518,5,1,2402,70,16,-1312,24673846,69
DrXf,1999,10,1179054,1912547,90,2,1,2036,60,4,-1326,,108
Xga,1988,3,247113,169071,2,2,6,2382,40,5,2089,247113,80
Ynsd,1989,4,1937841,4230359,169,13,5429,2473,60,18,-64,,86
Ez77s,1993,3,8553455,8034505,29,3,22,2588,60,2,-10,8553455,104
Xfwffldcbbnv Corp,2012,10,2734795,2933755,92,2,1,2737,60,3,-2210,,457
Ymj,1993,3,28669612,30747750,462,22,3,3339,60,3,467,,134
Fqpwoj Corp,1989,6,1255710,791001,20,4,15,2641,60,12,-1531,1255710,92
RwW9x Corp,1977,2,308332,146220,5,3,1,2427,75,1,-4546,308332,60
Lv4 Corp,1987,3,491783833,513021288,23574,3,7,1961,50,69,-904,,64
L7e,2007,1,68056389,31048061,518,23,1,3010,50,1,-291,68056389,274
Dxvl4,1995,1,7403,5300,1,1,44,2188,60,10,612,7403,96
R85gizp2,2003,3,12032531,10129881,636,13,1,3192,80,4,23,12032531,213
T4kroG Corp,1986,11,2034630,1408233,60,5,6,1766,56,281,1063,2034630,56
Ivky Corp,1991,13,31044817,47598716,2136,38,1,2903,60,522,994,,108
TyNwc Corp,2001,3,2895673,2063765,163,13,2,3165,62,6,-1372,2895673,187
Zrhetsg Inc,1986,3,22742812,16245564,828,24,7,3108,60,7,901,22742812,98
ZTd,1981,8,18338,20294,1,1,3,2278,40,3,0,,62
Jlc,1991,6,31945,20959,1,1,1,2605,40,87,572,31945,97
B0hmsra Corp,1991,11,67832577,44043998,3258,18,4,2064,60,8,-1698,67832577,77
Yef,1999,6,335235,488965,12,4,1,2885,50,2,-906,,152
MwL,1991,10,121611015,94120279,1215,10,2,2453,40,82,-3513,121611015,91
Tfco Corp,1995,3,29968362,33398509,2444,11,1,3205,40,2,-3442,,140
Xps,2002,2,2118199,2894950,52,2,67,2834,40,1,-585,,178
Kwy,1976,8,5984747,2805047,90,10,1,2961,40,6,2740,5984747,71
DlPfe Corp,1984,8,620526,280661,22,5,2,2220,70,1,1287,620526,66
QtkaeTmo,1998,8,568896347,545728551,12596,3,1,2493,40,1102,1373,568896347,125
Exik Corp,1993,3,708894,525306,5,3,1,3406,40,1,298,708894,137
Wjri,1986,6,16332764,16753437,411,15,1,2368,80,4,2104,,74
UBh Inc,1979,13,802108,940238,8,3,14,2407,40,9,-1003,,62
Vbhdus,1986,13,18774803,23924258,113,11,1,2555,40,98,3168,,80
CMfje,1990,3,4110517,3518739,55,8,1,2504,55,31,-434,4110517,90
Ftfj,2002,11,692441,780698,67,9,1,2751,60,335,4929,,172
NUatbp Inc,1979,11,1702240,1649479,82,10,41,2724,40,12,1758,1702240,70
Bno,1995,1,10583223,12152973,203,1,4,2539,56,10,-487,,111
Nrx Corp,1992,8,7680220,3542321,297,10,1,1925,60,2,1793,7680220,75
Vep0mg Inc,1985,12,2623464,2876663,238,10,18,2113,71,87,183,,65
Hkyou,1985,2,2473218351,4154606374,396280,2,3,3390,40,745,1089,,103
Vzow7fu,1989,8,5011615,4217260,66,8,47,2511,67,2,-465,5011615,87
Xpjy,1984,3,2647529883,2651417907,23131,90,2,2822,60,36,939,,83
Yrzi,1993,1,182910984,171103809,4162,23,2,2163,60,18,-1685,182910984,87
Mgq,1998,13,455511,458401,43,7,30,2632,70,1,-822,,132
Cxxzyp Corp,1995,1,42610771,37829077,3548,48,10,2819,60,5,-941,42610771,123
Opb,1994,6,28808921,13835130,240,16,2,2806,50,7,413,28808921,117
Ux6kicpv,1989,12,401620,409696,5,3,2,1866,70,7,1352,,65
Gfo,1978,3,3067914,2160009,51,8,2,2278,40,39,-13,3067914,57
Id9 LLC,1992,1,6034781,4462311,85,4,8,2177,60,1,1170,6034781,84
WUeur,1994,10,24047704,17916652,683,5,11,2130,60,30,66,24047704,89
Fg3hWf Corp,1985,3,5939119,2364568,127,8,1,2392,60,133,-211,5939119,73
Fciy6spl Corp,1988,11,858181,1066780,14,4,5,2172,60,21,-524,,73
Nrucw,1987,3,2239337013,4848047058,38240,2,5,2168,60,1,-233,,70
Jvhh,1986,11,19745650,9290003,77,9,2,1945,65,6,1244,19745650,61
I0d Corp,1987,3,22628439,16725727,365,20,1,2788,60,7,1150,22628439,90
Vcrfaj,1996,5,22948103,33303088,1053,33,1,2608,60,1,-508,,119
R1cl Corp,1987,4,402524524,208737493,853,30,7,2575,80,93,1489,402524524,84
Mgc,2002,1,316524,99585,5,3,4,2126,60,11,503,316524,133
Rse,1996,2,3129478,10851804,339,19,6,3024,60,40,-803,,138
Elcw,1987,6,3416952002,4169966980,94637,6,27,3009,71,193,3104,,98
NcLd Corp,1986,6,5349753,6370457,273,17,53,3033,40,6,-260,,95
Oik,1991,11,608484,705104,23,5,1,2657,60,21,-1657,,99
CwNh,1993,6,4190681819,5776332648,481617,17,1,2481,40,1,994,,100
JSv,1979,3,18802698,27435584,195,14,1,2212,46,19,-968,,57
Nroc,1979,1,9257186,8759224,103,11,1,2556,60,2,223,9257186,66
D2wex Corp,1989,6,170714,75224,1,1,2,2371,80,106,-2481,170714,82
Vjjyt,1992,11,2727326,6386059,240,3,1,2762,60,1,-788,,107
Vvxtpn,1974,6,25474,29731,1,1,2,2041,50,18,-5630,,47
Ysmm,1997,11,56853925,27554166,211,14,2,2220,50,27,461,56853925,106
Omplguy,1993,3,495463,228340,6,3,2,2454,65,135,62,495463,99
Lfve0 Corp,1995,3,33541,70509,3,2,5,2159,50,1,322,,94
Ixyp5g,2000,1,2223507622,1941609092,39425,3,1,1474,60,2,-2805,2223507622,82
Oqu,1996,1,2638330,2556703,40,4,3,2651,74,1,1326,2638330,121
XtpRb0dHUze,1992,3,42238068,32381015,1138,2,1,2986,50,73,-1821,42238068,115
TZk,1993,3,503511,745390,12,4,1,2205,40,111,354,,89
Sxvrdb4 Inc,1995,6,12788837285,21511639523,598255,20,21,2872,60,195,494,,125
Szsgz,2005,3,504604,487642,46,7,1,2665,50,2,-4353,504604,205
Tev Corp,1984,3,1492699,1445892,10,4,1,2069,40,79,500,1492699,61
Ka9 LLC,1987,3,445169,739501,30,6,1,2637,40,589,-396,,86
Bs0lun Corp,1989,6,3596364,2977440,36,6,84,2194,60,2,435,3596364,76
QZD Inc,1995,13,100023208,225007946,3331,21,110,2640,40,21,311,,115
Csi5k,1989,3,221323,227292,4,2,133,2080,70,22,1132,,72
KnxdImsh LLC,1988,2,32477,17861,1,1,1,2235,80,40,-1596,32477,75
YvFrb,1988,13,746128,372934,9,3,54,2342,60,85,-82,746128,79
QggpheW,1991,2,2961197,4483807,266,17,20,2943,40,10,748,,109
Xbc6lq,1981,6,11798775,5484175,78,2,12,2302,50,6,-103,11798775,63
Pgs Inc,1990,6,361903,473791,6,3,118,2397,60,3,795,,86
KRy,1987,10,19600739,31582655,465,2,7,2757,60,2,1280,,89
XbA6,1998,1,167914289,296115252,7124,10,1,2901,40,25,862,,146
Kxao,1982,12,19293227,25582341,470,22,1,2220,54,409,5270,,62
Vutefsh,1979,8,14967,10381,1,1,1,2035,60,132,272,14967,53
Xw8qptk,1984,11,21691,21604,1,1,1,3174,60,22,0,21691,94
Vrcj3pi Corp,2001,11,43835,25634,1,1,5,2935,50,9,359,43835,173
Fmu,1991,3,3363206,4583049,131,9,20,2292,40,77,-370,,85
R4cJmvqig Corp,1984,3,12097394,8139608,162,6,103,2810,40,11,604,12097394,83
CrftqouwzJyzDdZh Corp,1982,3,18268025,10573284,380,8,2,2912,56,85,-1100,18268025,81
Ewfbf,1993,6,714345,800127,30,4,1,2104,40,1,1420,,85
Kxsg,1994,1,1265564,691814,16,3,4,2669,60,2,616,1265564,112
STulricqisq2 Inc,1984,7,3472882,4787804,362,20,1,2716,50,4,-70,,80
Caev,1993,7,15331190,35834297,1468,39,1,2983,60,13,1316,,120
Teo Corp,1991,3,24133289,37992511,307,18,70,2466,60,41,-541,,92
Eyphp,1984,6,7698,5369,1,1,1,2437,20,7,237,7698,72
OYvgSi,1996,4,6040460,9902516,971,5,58,2348,60,6,-121,,107
Dxcbhjoo,1980,10,29326169,14362646,344,16,2,2358,40,1168,-584,29326169,63
Sra,1977,2,95674295,143947519,3304,9,1,1647,64,17,1037,,41
Awb Corp,2003,10,400282,350912,5,3,1,2295,50,20,-2102,400282,153
Rjobir Corp,2001,3,19608126,21030268,486,23,1,2392,50,2,-2187,,141
Vx1,1983,2,21464,9687,1,1,3,2283,60,2,3764,21464,66
L5pp7x2,1976,9,8331155855,5044148382,471729,16,2,2407,50,4,-680,8331155855,58
Knepqehc,1990,6,345479,159985,4,2,1,2687,40,3,-3629,345479,96
Cg8Ssw,1986,2,18765440,29616067,1677,14,33,2921,50,11,-926,,92
Lrz,1991,8,58365075,25549465,1590,36,14,2999,60,13,1015,58365075,112
Upz,1998,12,76331153,38479935,652,26,1,2130,50,42,294,76331153,107
TNq,1994,6,979185,433812,13,4,2870,2824,60,1,-2028,979185,118
Muo33,1980,6,107823,48816,1,1,36,2103,40,11,1672,107823,56
Qgg Corp,1993,12,1060866,979210,6,3,1,2297,40,30,-1541,1060866,92
Wfio,1998,3,1023324,765493,7,3,2,3732,42,3,-829,1023324,187
Nqke,2000,3,189225,237030,7,3,7,2567,40,2,350,,143
Vtcnfv Corp,1989,3,13705338,15207591,728,27,2,3214,60,2,-1034,,111
JZg,1989,10,207,217,1,1,1,2895,60,8,96,,100
Juam Corp,1999,13,55838,24475,2,2,1,2374,60,75,-141,55838,125
Adh,1998,8,49880,38072,3,2,3,2212,60,2,1684,49880,111
KOow,1985,3,117521653,152690615,15026,27,3,2159,60,1,232,,66
Lhi,1994,3,287344,288934,4,2,7,2701,50,24,409,,113
DKk Corp,1996,11,383637,157499,6,3,12,2517,40,69,2197,383637,115
Auz,1990,6,156558420,182159406,661,25,1,2139,40,18,498,,77
Flaz,2001,13,224498,167933,2,2,1,2291,20,53,1007,224498,135
YnOog,1996,2,25662,22101,1,1,11,2374,60,5,51,25662,108
Mlr,1989,13,4185673,3562606,39,7,9,2369,60,1,225,4185673,82
Yob7,2006,8,176138990,483010085,32030,12,1,2213,30,6,540,,185
U9e Corp,1993,8,268994602,424106252,26627,57,1,2657,45,9,-1153,,107
Cau Corp,1981,2,270635,328800,4,2,25,3102,60,36,1440,,84
GnzSfnhtfck Inc,1988,6,10644523,3771724,83,10,4,2565,65,5,788,10644523,86
QgtE,1980,1,4228249,2495119,55,5,5,2068,60,3,104,4228249,55
Stwrb Inc,1995,3,14501323,9117854,130,12,2,2477,50,47,625,14501323,108
Blm,1996,7,581535,730922,24,5,1,3271,61,5,-330,,149
I39A,1986,9,1017472054,1786308464,19763,26,2,2259,60,48,794,,71
Yip,1987,6,45486391,72989176,1695,42,1,2762,60,1,21,,90
GnpMx5 Corp,2000,6,661891,1003780,4,2,6,2613,40,11,-777,,146
Lzs Corp,1982,8,91698087,108142029,7567,12,4,3074,45,63,-858,,86
Vmrvx Inc,1994,3,3136444,4236629,122,1,1,1953,60,2,-235,,82
Yam Corp,1993,13,34336352,36270860,585,25,1,1783,60,23,1279,,72
Rl1J,1999,3,106267413,109650068,1471,8,9,2501,65,1,2200,,132
Wrszyv,1979,13,3962579,4011609,164,13,5,2417,70,17,2550,,62
Tsq,1988,11,1145757,596235,10,4,1,2907,60,1555,3014,1145757,97
KvjeradiMql Corp,1985,2,993403,894129,14,1,1,2726,60,60,460,993403,83
Phfqc,1996,3,434383,976430,14,4,5,2422,40,8,693,,111
Rbbt,1991,6,5341726,4519944,96,10,27,2733,55,21,106,5341726,102
Week7,1999,1,4261659,3613367,106,3,11,3056,60,69,298,4261659,161
KJpm,1992,10,687470,542813,54,8,62,2711,40,90,815,687470,105
Jdi Inc,1986,1,92698964,222706581,3155,1,2,2662,60,97,224,,84
R80afv Corp,1990,8,237285,149551,14,4,12,2478,60,136,-1337,237285,89
Q6jz,1992,6,265803,312155,12,4,1,2230,50,8,-64,,86
VpabkR,1997,2,3170185189,10762999772,116062,7,2,2716,70,2,3391,,130
Kjl,2000,11,493714,191910,5,3,3,2910,50,5,6614,493714,162
Wgd,1989,3,7104521,9365756,80,9,4,3068,55,2,3979,,106
J8awv4a,1975,8,589493,414869,3,2,324,2749,60,15,-383,589493,64
Cgj2,1997,13,206063,313794,9,3,2,2659,50,31,-881,,127
Jfu,1980,6,48455251,47318344,2467,32,3,3142,60,27,-674,48455251,83
Ghf Corp,1990,3,5880389,8943322,57,8,1,2002,40,1,942,,72
StL,2002,6,65375,50906,2,2,1,2595,52,30,1453,65375,163
BjrSdbay Corp,1988,11,679393,455172,6,3,33,3001,50,14,1261,679393,101
Gel LLC,1996,2,2878,2147,1,1,2,3177,40,1,903,2878,145
Mgn Corp,1988,9,205456094,782978839,4427,14,334,2874,60,1685,-1576,,96
Tvz,1988,3,537593536,1341798916,14832,2,257,2205,70,3,-1107,,74
UKso,2010,4,20448212,17951698,993,32,2,2411,40,6,246,20448212,302
Tash Inc,1976,13,10847615,7259331,88,10,15,2811,70,32,929,10847615,67
A2q LLC,1984,6,27040706,28191999,355,12,1,2935,82,6,1575,,87
Pklvd,1998,6,724803,685284,20,3,8,2234,40,4,702,724803,112
WdyS,1985,2,2502862,1960304,52,8,8,2311,40,4,0,2502862,71
VgP,1985,8,52930,113247,4,2,1,2227,60,95,825,,68
Ui4,1992,1,3232582,4865942,322,10,2,2041,40,902,-2396,,79
Hww87pvb Corp,1989,3,176937920,141294399,6363,2,14,3085,70,11,314,176937920,107
AraL,2002,3,4552524,5476860,21,5,130,2862,60,74,667,,179
Pvir,1994,3,20180762,20937189,2009,45,1,2484,40,27,1384,,104
QfdW,1981,13,40674825190,60578232992,1255513,16,180,2078,52,7,1644,,57
Cwi,2000,3,4101915,2429456,60,8,1,2272,55,24,1047,4101915,127
IDh,1992,11,20321861,45673954,1255,30,10,2093,40,10,456,,81
Jykv9,1998,11,598552363,529520197,19528,4,6,2823,60,7,-207,598552363,142
Yx9fvyl,1989,6,3198848,5360678,220,15,36,3092,60,1,-972,,107
LgzB0jd Inc,1980,3,46711320,52202430,646,1,2,2330,70,10,568,,62
Zai0,2011,1,119875,68585,3,2,14,2857,70,4,-19,119875,409
Gszc,1992,6,28194045,65992514,532,24,1,2446,60,5,-1006,,95
Jhfw Corp,1996,4,1572774,1341691,56,8,1,3083,40,6,27,1572774,141
Vd9rsj,1985,10,947349334,1487542078,30266,6,4,1609,40,8,-3483,,49
Pq9,1983,1,1538349,745832,15,4,1,2283,40,4,-2351,1538349,66
Nkl6l2xqp Corp,1991,9,16651,6773,1,1,2,2733,60,10,614,16651,102
Gldvkcsi Inc,1992,3,197680,144684,3,2,2,2597,60,1,417,197680,100
IkRa,1980,2,31189331,20124477,182,14,3,2671,60,147,584,31189331,71
Xpis LLC,1994,2,1222226,867332,14,4,1,2936,80,9,157,1222226,123
Ctz LLC,1993,3,427350,294046,12,4,57,2930,60,314,-333,427350,118
OXfcy LLC,1997,10,8270,8628,1,1,15,3046,60,10,402,,146
Ml6lt,2000,8,1379588,1081964,20,5,2,3081,60,6,557,1379588,172
JegMga,1994,6,950420,535079,7,3,101,2418,40,61,1336,950420,101
Hqcnz Inc,1985,3,101679,90176,3,2,1,2453,40,127,1803,101679,75
FifJrxafci,1985,9,78629460,82553026,1414,20,1,2675,60,67,1678,,82
Koa LLC,1992,6,77217547,61341194,5568,18,13,3136,60,114,-2574,77217547,121
X7bxq LLC,1995,11,6020924,4338886,62,8,3,3030,40,68,3255,6020924,132
Rwuk,2000,11,7346565,5966607,83,10,1,3018,60,1,94,7346565,168
BLqhvq,1987,11,6768,13640,1,1,1,2577,60,8,-2053,,84
RNw,1999,12,105963933,162614679,3114,21,1,2156,50,11,-2159,,114
Obue8Ven,1987,6,31720416537,17870394200,276535,7,1,2746,40,14,313,31720416537,89
Qczc1vs,1992,7,20684910,10011605,1000,3,16,1984,50,23,4164,20684910,77
WHffaf4xG,1991,10,18295,36167,3,2,1,3007,40,283,-1347,,112
Bew Inc,1987,13,2340551568,4539686779,351789,19,1,3214,40,2,-2237,,104
Iwzv,1995,3,126825937,90913088,2387,19,1,2455,60,7,548,126825937,107
Jlecum,1997,4,12446,11448,1,1,1,2883,60,3,138,12446,138
R5Wk,1989,6,1463,674,1,1,5,2476,40,16,720,1463,86
Wkd,1995,8,492433,354147,3,2,3,2778,70,895,1424,492433,121
W1lhde Corp,1991,3,139465031,55550656,1058,23,1,1793,55,3,-786,139465031,67
Ezak,2002,1,966940869,2122178816,113623,28,1,2851,60,10,1393,,179
ACf Corp,1988,2,30064907,26975469,174,14,7,2032,60,3,1885,30064907,68
Va1ucp Corp,1985,13,1286129,697493,8,3,1,3376,65,15,18,1286129,103
Jvy,1983,7,1780636,1030212,25,4,4,2691,50,14,670,1780636,77
Iwi Corp,1984,4,555738,538598,11,4,88,3282,40,4,478,555738,97
Eey Inc,1986,10,26201877,50880615,557,16,3,2660,40,3,146,,84
MwQ3 Inc,1991,11,24283566,15613982,1090,34,15,2594,40,99,-2391,24283566,97
Pucc Inc,1980,3,46394142,18176884,199,14,3,2638,60,19,2029,46394142,70
Vvz Inc,1985,2,47544,42834,1,1,9,2708,40,371,2032,47544,83
Zivwav0bej,1989,3,23200797,52083080,1124,12,48,2653,75,3,99,,92
